nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Aiguebelette-le-Lac;741421;73610;4046;3658;2921;4754;2535;3117;3912;4071
Aiguebelle;741256;73220;73947;65472;62936;80418;76441;77759;69078;67365
Aigues-Mortes;775858;30220;11325;8201;5683;6146;5311;4822;3546;3917
Aix-en-Provence;751404;13100;603811;276414;189752;542347;769147;1106279;998093;1011615
Alaï;722744;69340;48664;37923;32702;37840;37031;35720;27939;21972
Albertville;741645;73200;323762;248996;202236;310114;290751;336210;330624;358299
Albi;615005;81000;531922;391271;287025;415630;368147;432819;392651;412872
Allassac;594234;19240;23681;17797;15856;23411;18504;16670;14697;16854
Allenc;783654;48190;409;206;182;235;198;132;116;123
Altkirch;182238;68130;292711;250081;217365;322676;303746;310531;286839;284515
Ambazac;592311;87240;35478;28521;25184;27893;25961;30597;31750;34127
Amifontaine;171744;2190;15468;14165;13302;14722;15470;15485;12624;11071
Andilly;142364;52360;0;0;0;0;0;0;0;0
Anizy - Pinon;296566;2320;97130;76946;59518;87841;75945;83874;80983;87381
Annecy;746008;74000;2817701;2127405;1562888;2334077;2209179;2390892;2216925;2235873
Anor;295055;59186;18987;18522;14384;20768;20097;20943;20983;22276
Antibes;757674;6600;2593610;1865911;1369074;2440877;2105087;2220716;1953102;2016198
Argentière;746859;74400;16320;12758;12408;14463;15238;13277;15678;16513
Arras;342014;62000;3920113;2979908;2622169;4297088;4060559;4361839;4138307;4145669
Aspres-sur-Buëch;763250;5140;3469;2895;3410;8513;9306;11474;9597;10131
Aubigné-Racan;396572;72800;15606;13479;8620;13396;13647;15823;19307;18342
Aubigny-en-Artois;342246;62690;21509;21048;39296;50207;48982;58250;60607;63351
Auboué;191684;54580;2001;1694;1568;2608;1839;2186;3420;4747
Augy Vaux;683607;89290;0;0;0;1;0;0;0;1252
Aulnat Aéroport;562421;63510;10248;7691;6224;10154;8009;10477;12081;14703
Aurec-sur-Loire;726760;43110;69604;49788;35557;69598;64270;51339;63844;70722
Aurillac;645002;15000;133725;115900;81046;120175;136951;154733;143170;160641
Auvers-sur-Oise;276543;95430;103170;94246;59979;137596;124831;127133;123968;121177
Avenue Henri Martin;381046;75016;668376;418488;436310;809171;839928;874140;891938;906404
