nom_gare;code_uic;code_postal;total_voyageurs_2022;total_voyageurs_2021;total_voyageurs_2020;total_voyageurs_2019;total_voyageurs_2018;totalvoyageurs2017;total_voyageurs_2016;total_voyageurs_2015
Cassel;281139;59670;115188;91911;91344;122794;111522;117253;109852;100561
Cassis;751776;13260;332671;269368;204879;294183;256460;271895;238249;226893
Castillon-la-Bataille;584136;33350;183626;145213;106766;101245;132624;148967;138851;149930
Castres;615468;81100;158104;117058;90303;130131;125499;179620;174902;196675
Caulnes;473066;22350;73308;49281;42095;55299;45131;36453;31786;27383
Ceintrey;141572;54109;2568;2490;1425;669;3344;3022;3394;4802
Cergy le Haut;382655;95800;7096311;4792833;3298015;6739264;6755489;6809697;6743592;6647546
Chabris;576223;36210;30059;20893;21125;24538;21423;19859;16300;14791
Chalais;583690;16210;31156;22195;16085;22302;16505;16052;14990;17180
Challans;481390;85300;208494;151854;118681;179537;149736;158081;141623;109007
Châlons-en-Champagne;174003;51000;811432;600736;468771;801402;717835;825899;796200;840726
Chamelet;721829;69620;13668;9180;6775;13321;9539;8453;12411;11419
Champagné;396275;72470;17740;13105;14192;22836;20618;26741;34654;40979
Champagne-sur-Oise;276519;95660;344537;311096;158430;342276;353481;344530;320066;296487
Champigny sur Yonne;683128;89340;98611;74932;57749;80015;53895;58963;58208;63772
Champlan;725457;91160;0;0;0;0;0;0;0;0
Champs - Saint-Bris;683615;89290;2551;1473;1684;3062;2172;3169;3195;7201
Chantonnay;486332;85110;16772;12552;8294;17727;17660;15532;16152;19927
Charmes;144055;88130;360594;288610;239565;313168;276459;284407;280450;288612
Chars;381194;95750;200713;186583;61405;216668;210567;211762;207620;204576
Château-du-Loir;396606;72500;141544;112602;81240;152866;159432;167877;161421;161909
Château-Gaillard;543066;28210;7509;5504;3302;3720;3358;4982;4606;3856
Château-l'Évêque;595165;24460;2326;2114;1671;1871;1317;1091;895;1163
Châteauneuf-sur-Charente;491506;16120;48173;31666;36591;56387;48544;51176;48921;47548
Châteauroux;597005;36000;733059;617397;560045;805216;728454;787944;751042;784887
Chedde;746701;74190;24235;17314;15047;20478;21249;22641;23305;22703
Chézy-sur-Marne;116574;2570;113397;91229;70385;117503;106910;107151;101564;97565
Chilly-Mazarin;393637;91380;848244;455942;343304;1027095;1025321;1033197;1018999;998852
Chinon;571687;37500;174059;123472;107852;139060;118423;125882;120107;125376
Clichy - Levallois;381129;92110;11232100;9184506;4471252;11275885;10863687;10745166;10573894;8018296
Collonges-lès-Premières;713321;21110;43636;35154;28857;28509;26571;25943;29001;27526
Colmar Mésanges;402297;68000;3007;3326;2422;4190;4571;3442;2119;2769
Colroy - Lubine;144386;88490;0;0;23;15;18;140;587;247
Compiègne;276691;60200;2341622;1887027;1495127;2277888;2164053;2313592;2277907;2316129
Connerré - Beillé;396309;72160;98889;69372;56893;141667;158737;167834;164999;179177
Corbeil-Essonnes;681007;91100;8129611;9146952;5418465;9842549;9324546;8829062;8205885;7600151
Corcieux Vanémont;144196;88430;2735;1361;260;973;3373;2809;3239;5660
Cordes - Vindrac;613802;81170;13406;9103;6466;9138;7395;9472;8567;9877
Coulanges-sur-Yonne;696831;89480;4474;3038;2880;3880;2401;2507;2812;3208
Coursan;781161;11110;3789;2668;2409;4105;2708;2550;2154;2427
Courthézon;765180;84350;33392;25611;16297;25599;21910;29997;30388;26800
Courville-sur-Eure;394221;28190;478799;337356;246509;326100;301967;297098;292795;307355
Cravant - Bazarnes;683649;89460;15063;8775;5318;8539;7305;8550;7629;12819
Creil;276006;60100;5224702;4343840;3384293;5096215;4767367;5179573;4975896;4771298
Crépy-en-Valois;271593;60800;1613556;1412354;1064830;1760549;1683624;2123053;1784694;1570943
Crissé;396226;72140;1033;1152;660;1409;2138;2685;2054;1355
Cuers - Pierrefeu;755355;83390;105189;90246;49667;69744;52377;62805;50332;38719
Cugand;481457;85610;39228;21738;14969;12805;11178;11186;8527;5988
Culmont - Chalindrey;142125;52600;73190;49367;35598;60945;64635;78547;76315;100673
Damiatte - Saint-Paul;615484;81220;26717;21104;16042;20332;17446;21096;22814;22436
Dannemarie - Velesmes;718312;25410;40026;35449;30667;24692;21128;25444;28129;26559
Dannes - Camiers;317081;62187;11836;12562;9337;10346;9826;11730;15102;13095
Dercy - Froidmont;297143;2270;8642;9055;10378;9871;11496;13503;13129;13255
Deville;172064;8800;32295;28179;22128;24336;20934;24211;25000;28099
Dieulouard;141812;54380;113680;84166;75096;121260;109715;111942;107485;114246
Dijon Porte Neuve;713008;21000;106372;96032;103723;127926;133230;146606;144619;149762
Dinan;478164;22100;92068;63610;37277;72293;67398;83213;81345;84903
Dives-sur-Mer - Cabourg;444414;14390;26502;20250;14684;27525;20593;26720;24560;26357
Docelles - Cheniménil;144030;88460;10443;6953;5168;5720;4021;5496;5733;5535
Dombasle-sur-Meurthe;141119;54110;291082;248847;219102;277386;275229;291561;291766;308697
Domblans - Voiteur;718213;39210;33201;32655;35660;31832;34199;41499;41663;44879
Domfront-en-Champagne;396200;72240;6928;5640;4380;11171;13210;13090;13321;12836
Domont;276436;95330;2515498;2377492;1238904;2620960;2694723;2673396;2710479;2734396
Dompierre-sur-Helpe;295774;59440;1695;1464;1396;3175;3117;3163;2891;3146
Donchery;172239;8350;41728;30292;20503;23429;22467;25803;26257;21570
Donzère;764290;26290;30544;19638;16156;27825;20780;23808;19937;20729
Dourdan La Forêt;540179;91410;344253;633544;226155;416770;374439;343508;307640;273548
Dourges;345165;62119;209548;165763;152051;255384;247741;255066;240705;251402
Dreuil-lès-Amiens;316075;80730;4898;5055;6308;8475;9338;10017;12829;13322
Ebersheim;214106;67600;19355;15009;11859;17186;15104;13195;14582;15433
Ébersviller;191379;57320;111;2109;3283;3285;4915;5546;5552;7297
École-Valentin;710731;25480;8658;5038;3854;6069;5684;6386;6236;7012
Écommoy;396564;72220;74026;52183;38701;91331;109312;112643;108386;109245
Écouché;444547;61150;734;178;285;528;202;641;825;919
Écouen - Ézanville;276394;95440;1737430;1582811;762769;1881227;1943954;1983810;1939326;1886129
Einvaux;141200;54360;4821;3098;3416;5387;5113;5343;6779;8766
Émerainville - Pontault-Combault;116046;77340;3975775;3748002;2496908;4748348;4801461;4898268;4892074;4864507
Ennevelin;287276;59710;3183;2240;601;975;714;471;321;907
Épinay-sur-Orge;545228;91360;2236797;2095084;955407;2707994;2779352;2860910;2889983;2902925
Épinay-sur-Seine;271148;93800;5747660;4459429;1979635;4006406;4210792;3419097;2572264;2700882
Épluches;276147;95310;75481;64775;33122;82821;87088;74693;70353;68305
Erdre-Active;590356;44240;43072;29592;27016;41140;33668;31751;23906;20552
Espéraza;615211;11260;975;637;387;630;322;440;369;335
Estressin;722579;38200;114242;85549;62138;90877;71330;82698;77341;89537
Étalans;718536;25580;60802;50499;48741;48324;43353;48453;47593;45347
Étigny - Véron;683201;89510;7022;5224;4663;7273;4868;6285;6936;7684
Étriché - Châteauneuf;484154;49330;38051;25656;20760;50986;61562;57633;55988;57751
Évry-Courcouronnes;681387;91000;9299239;8307516;5130572;11258509;11133073;11022956;10724567;10369452
Èze;756387;6360;195128;96384;74836;157317;121230;123802;99817;95155
Faubourg d'Orléans;576173;41200;89561;106506;133709;121436;113984;120806;131611;122855
Faulquemont;193359;57380;190244;145608;116301;194382;178904;191196;177317;181472
Fegersheim - Lipsheim;212266;67640;125454;107543;91314;138794;128758;141076;172602;163744
Feuquières - Broquiers;313742;60960;32339;23020;14701;12362;13619;17337;20207;22632
Feurs;726877;42110;172283;143964;117116;185891;166886;188574;165252;181429
Flavy-le-Martel;296871;2520;15008;14048;13303;13988;11848;12315;12559;14706
Flers;448001;61100;144527;99533;77154;126812;118812;126503;125648;121625
Flez-Cuzy - Tannay;696633;58190;2766;1149;668;1356;1032;989;895;810
Fontaines - Mercurey;713586;71150;52096;32194;38179;33976;33136;38084;34670;35110
Fontaines-d'Ozillac;491159;17500;0;0;0;89;93;82;61;80
Fontenoy-sur-Moselle;141051;54840;2520;2344;2672;2864;2500;2502;2641;3364
Font-Romeu-Odeillo-Via;784819;66120;65103;58068;40745;47484;44814;52883;52547;45205
Forbach;193003;57600;330425;271958;204729;347579;327366;369799;340553;365895
Fouday;214734;67130;11309;8889;8789;10791;11128;12098;11868;14159
Freistroff;191395;57320;2073;1398;1494;2436;2861;2171;2051;2334
Fréjus;757500;83600;179522;149002;103420;181707;188070;197430;138804;134173
Frontignan;773556;34110;432281;330673;223824;294107;280570;338991;325249;321072
Gaillon - Aubevoye;415620;27600;550836;417872;347651;555086;492341;534151;497116;486304
Gambsheim;212332;67760;207706;172337;154129;194564;179292;180800;166992;160531
Gan;672618;64290;5149;3818;2628;3853;2131;2428;2614;2578
Gardonne;584235;24680;38203;29751;21890;22457;38151;43953;37293;33820
Gare routière de La-Voulte-sur-Rhône;761544;7800;1406;1042;747;601;956;1029;2023;2053
Gargan;113860;93320;5708651;4574239;6591131;3150620;3233856;3297972;3299886;3304052
Gevrey-Chambertin;713503;21220;102990;64535;82277;106048;91622;99128;86418;95685
Gièvres;576876;41130;72650;62263;46244;56134;49554;53522;55532;53581
Golfech;618082;82400;161;0;0;0;0;565;1760;1896
Graffenwald;181131;68700;84897;60905;58023;78248;78592;74572;69576;79337
Gramat;613059;46500;20641;15183;10952;12369;12205;14971;16179;16898
Grand Bourg;681353;91000;249760;603514;141132;302375;336778;376379;412191;450127
Grenoble;747006;38000;7993812;6150709;4781532;7796571;7057612;7674268;7237980;7549493
Grésy-sur-Aix;746107;73100;92911;69400;53176;69592;60119;65582;61292;67310
Grésy-sur-Isère;741611;73460;12966;13546;10781;17257;13601;14508;14268;14943
Gretz-Armainvilliers;116012;77220;832033;662867;436595;881676;904863;930677;938758;943338
Grigny Centre;681379;91350;6155100;8080635;3822746;7451784;7262293;7046881;6723757;6395274
Groisy - Thorens - La Caille;746248;74570;101768;85991;67698;76660;68730;77445;67629;63268
Gudmont;142265;52320;1469;1222;1808;3576;2697;2071;1915;1642
Guichen - Bourg-des-Comptes;471151;35580;191540;116856;111583;169836;138612;131237;127139;127138
Gundershoffen;213223;67110;106807;84884;72612;79706;64665;64765;72360;75320
Harfleur Halte;413708;76700;4022;2591;2055;3788;3871;4858;4973;4463
Hargarten-aux-Mines - Falck;193144;57550;3896;3696;1087;555;924;588;2229;3061
Hargicourt - Pierrepont;313338;80500;18689;17226;15700;16867;14222;17002;17562;16591
Haybes;172106;8170;33619;31553;28125;30678;28905;30012;30349;35602
Heilles - Mouchy;316398;60250;5848;4682;2963;2001;3433;4160;4285;3568
Hellemmes;286062;59260;1231;941;1452;3251;3003;2678;3459;4392
Hermes - Berthecourt;313585;60370;120555;91304;85438;104436;99944;96687;97090;98430
Hettange-Grande;191163;57330;497593;366519;308253;472838;459855;532946;551410;524189
Hirson Écoles;324335;2500;36572;32712;32721;28484;38649;51563;57945;58573
Hochfelden;212167;67270;250777;204202;180350;231331;206165;218011;208774;210098
Hoelschloch;213413;67250;24275;17942;15442;20638;18341;18232;21663;20874
Hombourg-Budange;191353;57920;483;289;440;829;907;507;629;1212
Houilles - Carrières-sur-Seine;386409;78800;15852935;12067402;7442169;15533521;15190406;14909464;14383250;13827319
Houlgate;444406;14510;14635;11758;8614;15283;12321;14587;14006;14511
Huriel;641217;3380;34;15;6;26;24;112;150;120
Illiers-Combray;394437;28120;301838;215178;152054;166364;153755;148320;143108;146785
Isles - Armentières - Congis;116616;77440;85504;98675;53243;103553;103680;103988;102504;100521
Iwuy;345397;59141;5768;4585;5446;7181;5870;6973;6520;7871
Jarrie - Vizille;747535;38560;18757;12009;9411;17869;12850;15895;16778;29168
Jarville-la-Malgrange;141010;54140;47559;34886;30636;41635;32184;30080;27277;25777
Joigny-sur-Meuse;172031;8700;11957;15196;13973;14007;14796;16490;19924;21861
Juziers;381558;78820;361367;307728;144256;296880;281817;268597;251359;252094
Kédange;191346;57920;4150;2902;2221;4238;3893;3961;4842;6435
Kruth;182642;68820;25710;20013;18542;26336;24164;25830;25601;25185
La Barre Ormesson;271171;95170;2886266;2624736;1355505;2958201;2929551;2884526;2938751;2978869
La Bassée - Violaines;342436;59480;277429;215897;194161;271533;254644;275219;262023;241266
La Bernerie-en-Retz;481267;44760;46940;32545;24445;30187;23817;22179;15663;8984
La Bohalle;487843;49800;24044;14275;16229;27951;24016;23632;24580;23516
La Brigue;756874;6430;4102;1633;2044;3758;2694;3516;2757;3035
La Chapelle - Aulnay;590364;44240;28376;20741;14849;21028;17143;15547;13054;12746
La Ferté-Imbault;576082;41300;16548;12922;11851;12963;11904;11562;13175;13084
La Ferté-Saint-Aubin;543124;45240;216954;140784;100161;148325;139251;146434;139351;137115
La Ferté-sous-Jouarre;116517;77260;1443454;1912973;833343;1747522;1804600;1904385;1959154;1994958
La Fontaine;286427;59136;3857;2347;1408;4540;3634;4687;5429;4910
La Grave d'Ambarès;491274;33440;29282;24690;16470;15736;14632;15121;16509;16367
La Mothe-Saint-Héray;485508;79800;3675;2231;2267;3355;1888;2481;2661;2827
La Poterie;334508;35500;54075;44391;45583;33400;31844;43870;38781;33870
La Rochefoucauld;583427;16110;2;3;1;1427;3766;11004;16401;20238
La Roche-Maurice;474262;29800;18632;12300;9792;14028;13113;13963;13568;10990
La Roche-sur-Foron;746305;74800;547357;373942;245508;371253;344195;380270;372662;374750
L'Abbaye;113886;93190;939766;753017;1018355;856326;869325;878787;872604;865256
Laboissière - Le Déluge;313676;60570;47951;38292;25990;27855;25292;23832;21395;17744
Lagny - Thorigny;116319;77400;3156126;2624826;1587104;3821213;3784219;3760262;3668740;3561964
Laigné - Saint-Gervais;396556;72220;23092;15266;11899;37997;45629;48473;50839;46203
Lalande Église;611947;31000;0;0;0;0;0;1;0;411
Lalbenque - Fontanes;613323;46230;31861;20139;12762;8564;5380;7844;7333;7450
Landévant;476234;56690;66157;51225;34646;49467;40947;42063;41967;40203
Laneuveville-devant-Nancy;141093;54410;8149;7710;6555;10282;9556;8653;8719;9548
Langeais;571828;37130;290764;205919;149632;216141;212658;206711;190662;191515
Lannemezan;671123;65300;109660;82322;53489;67169;73290;95005;91450;105410
Lannion;473223;22300;299750;226935;157795;222479;192072;191738;175940;170323
Laqueuille;641274;63760;14290;10098;4694;5991;4582;5552;6937;7770
Laragne-Montéglin;763755;5300;18312;12238;9031;17947;20265;24952;24148;24927
Laroche - Migennes;683268;89400;655530;374681;232343;363126;340741;395315;394268;408478
Laroquebrou;645135;15150;3741;2626;2638;3527;3546;3815;4322;5164
Le Bras de Fer;681395;91000;2426400;2262218;1349141;2937587;2961835;2997353;2976043;2937923
Le Bruel;783548;48056;23;0;9;2;2;448;133;1
Le Bugue;595744;24260;10534;7644;6303;11454;10156;13123;13423;12367
Le Cailar;775825;30740;8480;6140;3148;1551;833;467;598;234
Le Cellier;481168;44850;61429;41042;34534;53036;44667;41617;33439;33316
Le Chambon-Feugerolles;726711;42500;30742;24405;16223;34013;28741;32783;27640;33520
Le Dramont;757542;83530;18042;15802;9735;11865;6563;4854;6532;6413
Le Haut Banc;316687;62250;1359;1804;2705;4388;4759;6494;6223;6543
Le Havre;413013;76600;1875316;1373175;1170571;1846292;1651915;1742027;1621008;1749706
Le Lioran;645473;15300;11384;9536;6284;16717;22312;23083;29538;25580
Le Luc - Le Cannet;755405;83340;51849;45132;33909;47512;37872;43411;42798;38783
Le Mans;396002;72000;5048028;3813805;2781897;4945609;4916622;5314986;5143229;5282858
Le Meux - La Croix-Saint-Ouen;276733;60880;44161;36443;26071;39014;32022;34707;34528;33071
Le Pouliguen;481762;44510;108811;81603;60000;87996;70391;73484;67304;59068
Le Puy-en-Velay;734699;43000;288773;235197;167756;272218;232241;206755;238506;251698
Le Vieux Briollay;484139;49125;18059;14515;16718;22877;20784;21836;19947;20489
Lentilly Charpenay;566919;69210;226783;156146;124739;227003;211712;222334;182763;155351
Lépanges;144048;88600;1992;1429;570;1703;3741;4271;4202;5395
Les Abrets - Fitilieu;741496;25370;4918;4491;2818;5284;4893;4302;4259;5059
Les Arcs - Draguignan;755447;83460;984891;785981;535660;819195;744501;871500;803328;795535
Les Bons Pères;297515;59131;554;903;1569;1919;1004;1068;787;1070
Les Cabannes;611574;9310;10768;7403;2726;7119;6572;7084;6100;6548
Les Cauquillous;328021;81500;15587;8695;7693;13579;9895;14838;15190;16376
Les Échets;723718;1700;163815;114128;83453;160821;146987;162984;149484;142775
Les Flachères;721704;69260;969;1562;1875;1859;1432;2175;1560;1893
Les Longevilles-Rochejean;715227;25370;368;259;239;834;666;845;637;665
Les Martres-de-Veyre;734178;63730;162477;132723;127362;151831;147413;164243;165126;167838
Les Moutiers-en-Retz;481259;44580;28213;19497;15453;20176;14809;13334;11809;7070
Les Saules;546226;94310;1030114;1131310;548437;1247139;1281314;1318722;1333471;1345018
Lestelle;611111;31360;355;551;517;312;273;867;1146;1710
Leucate La Franqui;781088;11370;107549;83945;63919;68400;53643;65525;58874;61925
Leval;295790;59620;2955;2621;2544;3422;2959;2184;1752;1661
L'Herbergement - Les Brouzils;486126;85260;120199;80849;64010;97831;90305;89563;82761;73687
L'Hospitalet-près-l'Andorre;611517;9390;16950;10849;6753;12852;14734;18765;20230;21743
Lille Porte de Douai;287250;59000;34090;26591;19925;31099;27727;23505;21321;19537
Limoges Bénédictins;592006;87000;1805383;1396497;1002380;1589836;1458785;1696236;1643729;1711530
Limoux Flassian;598755;11300;8990;7261;4693;3796;1621;2020;2040;4224
Lingolsheim;214502;67380;70732;61224;51849;69740;61627;63737;78643;78967
L'Isle-d'Abeau;761239;38080;294375;215285;159510;228996;201520;211322;197159;229555
Lisle-sur-Tarn;615310;81310;102884;80808;61130;75711;64558;83085;78875;75961
Lizy-sur-Ourcq;116632;77440;307473;319296;176418;370060;362132;356523;344061;329876
Loivre;171728;51220;43778;33768;31268;26527;27644;32324;30161;30100
Longpré-les-Corps-Saints;313122;80510;135919;107984;95828;140421;140244;155214;148203;147432
Louvroil;295535;59720;2460;1683;2513;4365;3192;3810;4065;4706
Ludres;141481;54710;21795;16503;14306;22919;17438;16244;15686;15639
Lunel;773408;34400;754365;589628;386217;513854;629093;794211;779273;773282
Lunery;576280;18400;661;177;506;678;324;304;688;783
Lunéville;141150;54300;963743;791746;651634;937483;898730;918474;877566;923786
Luxé;583823;16230;30018;23429;18100;23325;21635;27468;24996;22633
Luzarches;276576;95270;482916;438258;201311;500028;499525;496949;419434;353586
Lyon Perrache;722025;69286;7132629;5570449;4308666;7434369;5678086;5790743;5633663;5655585
Lyon Saint-Paul;721159;69005;1561710;1269662;1099732;1592773;1434039;1461390;1298877;1186092
Machecoul;481366;44270;96863;71593;54369;79509;66000;68551;61895;48422
Mâcon Loché TGV;725705;71000;440823;340147;241155;468049;431203;458195;425545;426960
Magnette;641365;3260;950;1312;937;2288;4108;4979;4824;2356
Magneux - Courlandon;400986;51170;20269;17061;15304;14861;17563;24648;25897;19094
Maillé;575068;37800;39773;21401;14529;23699;20413;20861;19398;19791
Maizières-lès-Metz;191106;57210;266195;177405;145265;233235;216656;243032;236360;247054
Malause;611871;82200;9;0;0;0;162;432;794;1263
Mantes-la-Jolie;381509;78200;8323186;6799318;5533654;11473614;11017685;10662194;10174217;9474592
Marbache;141796;54820;24767;19328;15271;19855;17978;15930;14137;16503
Marignier;746347;74970;164852;136930;116703;146796;131087;133079;110740;99742
Marlieux - Châtillon;723767;1240;132752;102131;78631;119224;102360;106378;96291;100901
Marmagne sous Creusot;694182;71710;53;24;113;89;156;96;220;275
Marquise - Rinxent;317339;62250;149409;123720;105312;137867;139133;160432;154999;170801
Marsac-sur-l'Isle;595207;24430;128;0;1;0;2;0;0;0
Marseille Blancarde;751081;13004;663750;556092;392563;504437;424347;436131;380068;319669
Marssac-sur-Tarn;615419;81500;11976;9148;6516;9832;6951;9707;8646;8842
Martigné-Ferchaud;471367;35640;13457;4573;2406;2684;3874;6338;13698;18431
Massérac;471227;44290;6406;2309;1210;7720;10227;8028;8415;11547
Massy - Palaiseau;393579;91300;3755971;4675988;635645;4478681;4509521;4592605;4554175;4508499
Massy - Verrières;383281;91300;272986;372146;46109;330403;322527;316810;304743;292092
Maubeuge;295006;59600;513226;412450;337479;527684;477615;481661;431890;475237
Mauzens-et-Miremont;595728;24260;0;1;199;554;421;334;418;804
Mazingarbe;342121;62670;1327;298;480;1088;1386;1009;1605;1373
Merrey;142406;52240;0;0;0;1;4;75;172;251
Méry-sur-Oise;276667;95540;687680;628515;488175;670612;675032;648598;643575;636775
Messein;141499;54850;12242;11766;13747;14096;15265;13950;13975;14539
Mesvres;694158;71190;4257;4036;3184;2172;2285;2694;2472;2974
Metzeral;182816;68380;50970;50116;45391;54194;62744;65992;65268;66614
Meung-sur-Loire;574137;45130;395501;292925;215000;319749;298142;290582;269021;281010
Meuse TGV;147322;55220;263062;196314;142401;235255;239313;245250;215538;202506
Mohon;172155;8000;12787;8285;5904;13533;12387;17574;13664;17313
Molinges;743591;39360;1817;1809;604;611;934;1968;2072;1452
Monestier-de-Clermont;747592;38650;19912;24324;16152;27898;23908;31707;29181;29440
Monsempron-Libos;586453;47500;37756;26737;20630;35773;35246;39031;42400;45076
Mont de Terre;287128;59000;185;99;452;2950;3589;3407;3484;2826
Montauban-de-Bretagne;471086;35360;278042;172566;145320;213580;174436;169875;162666;165515
Montbartier;611699;82700;80459;60683;47521;54779;43759;55637;54208;51823
Montbéliard;184523;25200;601319;452178;397874;539812;484248;538456;495367;529251
Montceau-les-Mines;694620;71300;99863;78743;66643;71447;53885;54713;50722;56742
Monteux;765818;84170;96193;76171;51419;106553;107288;126879;86965;45716
Montfort-sur-Meu;471078;35160;493201;323466;291403;417962;361647;344458;321844;317441
Montgeron - Crosne;682104;91230;3365599;2431317;1158916;4074620;4167597;4287891;4328950;4348527
Montgeroult - Courcelles;381160;95650;24391;21034;11168;19162;22831;27669;32647;31502
Mont-Louis - La Cabanasse;784793;66210;85238;70231;49246;77862;82084;86734;88502;92439
Montluçon;641001;3100;268390;224161;191312;301423;309296;345749;343667;380565
Montmoreau;583674;16190;19020;13875;9910;14114;10751;9864;8077;8848
Montpellier Saint-Roch;773002;34011;7646291;5850564;4220874;6393777;7123630;8667721;8131336;8013271
Montrond-les-Bains;726885;42210;104989;82426;70602;119711;100717;105199;95908;105934
Mont-sur-Meurthe;141143;54360;11591;10240;8703;10788;9382;9930;12366;12404
Morvillars;184424;90120;9808;7125;5663;5243;138;0;0;0
Mothern;212456;67470;5002;3201;2617;4919;3323;3462;3894;4910
Motteville;411280;76970;63184;54932;61279;89599;82013;83730;82711;94628
Mouroux;116285;77120;93212;89278;59769;112857;115847;120331;122066;123599
Moûtiers - Salins - Brides-les-Bains;741728;73600;418763;215595;243632;362024;365095;377639;383165;399949
Moyeuvre-Grande;191718;57250;43655;30889;21202;33122;27761;27842;26040;28049
Muhlbach-sur-Munster;182733;68380;23150;28499;29649;31410;28888;30407;31929;31602
Mulhouse Musées;534339;68100;0;0;0;0;0;0;0;0
Naintré;575175;86530;32089;24025;20569;26364;23428;25714;28130;30103
Nantes;481002;44041;15512154;11031867;8047221;12961997;11811037;11877861;11048763;10747895
Nantiat;592444;87140;18794;14954;13508;16700;14570;18904;19632;19161
Neufchâtel-Hardelot;317099;62152;19104;13625;10591;11140;9837;11945;11256;10990
Nexon;592725;87800;56990;47285;46283;61162;47463;48563;50427;48459
Nice Riquier;756353;6300;2350877;1867980;1520804;2512599;2116248;2225085;1795171;1808679
Niversac;595512;24330;11239;6099;6334;10885;7633;8215;7985;8202
Noisy-le-Sec;113217;93130;15647951;12963317;8762930;17495563;17492523;17446860;17100556;16693722
Nonant-le-Pin;444570;61240;1;0;0;0;2;0;36;28
Nortkerque;287292;62370;5755;3145;2048;2870;2137;2398;2296;2749
Nouan-le-Fuzelier;543157;41600;40834;29593;26442;35637;35741;40678;39239;39077
Nouzonville;172023;8700;46478;33050;20182;22170;22648;30330;37045;39711
Noyelles-sur-Mer;317396;80133;110387;88054;60948;78623;67245;73033;69507;69462
Noyen-sur-Sarthe;396374;72430;31682;22315;17647;54586;73388;77124;77008;75983
Nuits-Saint-Georges;713529;21700;272147;197473;200388;243129;220669;242194;239543;253622
Nyer;784736;66360;281;150;32;113;96;177;236;119
Obermodern-Zutzendorf;213165;67330;226246;176160;141240;186710;195390;196648;196029;194131
Ogeu-les-Bains;672709;64680;11587;8593;6253;9014;7030;8225;7214;7582
Oloron-Sainte-Marie;672725;64400;110312;86088;60818;98363;76510;93277;93239;93882
Onzain - Chaumont-sur-Loire;574319;41150;232704;173634;135772;172742;204359;230640;226387;225555
Orléans;543009;45000;4420737;2885388;2071845;3417122;3436479;3680857;3407093;3557414
Ostricourt;345249;59162;183609;145064;123204;171215;160372;166647;159284;159923
Oullins;722207;69600;190323;162086;114348;164130;146425;165780;136158;129690
Pantin;113209;93500;8207191;5100100;3862190;8005187;8231485;8472409;8551965;8605431
Pau;672006;64000;1234139;961429;621116;837523;725078;830486;760097;806310
Paulhaguet;734293;43230;2160;1363;963;1776;1246;1244;1355;2114
Pernes - Camblain;342550;62550;14043;7607;2820;19542;18796;22198;23632;21222
Perpignan;784009;66027;1809687;1496637;1050546;1390185;1370425;1629171;1562086;1758375
Perrignier;745620;74550;85299;57347;37640;52922;43735;56060;50523;57082
Pessac;581751;33600;1039275;777246;599821;982512;830270;787789;701988;745359
Pibrac;611830;31820;98791;94967;81695;100582;107356;132653;140127;154145
Plaisir - Grignon;393421;78370;2336338;2204517;1425832;2824885;2913422;3031163;3086849;3129448
Plaisir - Les Clayes;393629;78370;795995;705344;474628;964713;1031961;1097193;1152074;1203531
Plancoët;473272;22130;13965;12104;8772;11118;11125;16243;18095;18489
Pléchâtel;471177;35470;41764;29086;25107;33192;23326;16583;21978;24308
Plouaret Trégor;473181;22420;159840;117207;76436;120570;108058;126466;125498;134336
Plouigneau;474411;29610;3043;1405;841;1301;907;1096;1322;1204
Pointe de Grave;581397;33780;1700;1723;1720;1599;1161;877;832;534
Polliat;725846;1310;6999;6277;4945;7407;5416;6519;5775;6422
Pompadour;594663;19410;1790;1762;843;1816;3018;7890;8892;10996
Pompey;141788;54340;83327;60106;48312;77858;68591;56376;53234;60930
Pont de Lignon;726786;43430;1260;843;376;1401;796;54;174;302
Pont-à-Mousson;141820;54700;1067490;820553;714474;1040302;983306;971710;937395;979424
Pontanevaux;725721;71570;39660;30793;25503;37095;32343;36465;35218;36131
Pontgouin;394247;28190;41047;28386;18168;19123;17267;15576;16746;17423
Pont-l'Évêque;444349;14130;123946;87836;70343;112346;94065;114777;111152;113202
Pontmort;734103;63200;17410;16334;12565;17357;16232;21981;24978;25693
Pontoise;276139;95300;7676107;7186870;4540241;7951035;8172721;8065338;7866331;7392889
Pont-Saint-Esprit;764555;30130;7241;0;0;0;0;0;0;0
Porchefontaine;393165;78000;723565;545751;398498;875987;902371;933001;946641;956155
Pornichet;481747;44380;180508;128653;91939;140577;120557;124705;114971;104745
Port-Sainte-Marie;586107;47130;66274;46175;30883;40711;34778;41324;40541;49159
Port-Saint-Père - Saint-Mars;481218;44710;53306;37142;28793;38746;28618;24761;16226;13907
Pouzauges;487314;85700;1857;1101;656;779;737;678;488;596
Praye sous Vaudémont;141622;54116;153;95;863;841;850;1918;2578;2548
Précy-sur-Oise;276410;60460;75302;64068;42717;75241;77790;77825;74661;78127
Prin-Deyrançon;485268;79210;5100;7113;7079;4301;3786;5675;6421;7254
Prunay;171629;51360;7299;3964;2421;1897;2214;5449;10407;15516
Pruniers-en-Sologne;576199;41200;8571;7249;5040;5929;5893;6212;7031;6279
Quillan;615260;11500;35958;33294;28039;10767;9141;10240;9974;12199
Quimper;474098;29000;1483787;1076265;745934;1058048;951271;949964;880602;918186
