code_insee,Annee,Nombre_de_Maisons_en_vente,Nombre_Apparts_en_vente,Prix_Moyen,Prix_au_m2_Moyen,Surface_Moyenne
14271,2021,41,28,219823.739130435,2719.21739130435,78.8115942028985
14272,2021,5,0,272600,1603,150.8
14273,2021,4,0,198200,2038.25,97.25
14274,2021,32,2,319685.117647059,2901.52941176471,111.941176470588
14275,2021,12,0,256045.416666667,2305.58333333333,111.5
14276,2021,4,0,181910,2359,77
14277,2021,25,0,221900.64,1986,115.64
14278,2021,12,0,206210.25,1914,111.333333333333
14280,2021,5,0,251700,2269,112.6
14281,2021,16,0,178336.25,1700.4375,106.6875
14282,2021,1,0,175000,1326,132
14283,2021,5,0,91880,1331.4,68.4
14284,2021,2,0,219200,1548,143.5
14286,2021,7,0,425241.428571429,2816.85714285714,150.285714285714
14287,2021,28,0,207039.285714286,2050.67857142857,106
14288,2021,14,0,281792.857142857,2400,124.428571428571
14289,2021,13,0,172557.692307692,1367.38461538462,129.153846153846
14290,2021,7,0,210170.714285714,1945.57142857143,120.428571428571
14291,2021,4,0,178775,1657.5,107.5
14293,2021,3,0,288233.333333333,2193,124.333333333333
14297,2021,12,0,248596.666666667,2255.91666666667,112.083333333333
14298,2021,1,0,177000,2269,78
14299,2021,18,0,307427.777777778,2715.38888888889,116
14300,2021,1,0,330000,2062,160
14301,2021,44,2,199399.282608696,2421.36956521739,83.2826086956522
14302,2021,7,0,484707.142857143,3915.57142857143,123.857142857143
14303,2021,16,0,175428.75,1772.8125,100.3125
14304,2021,19,0,385976.315789474,2818,135.842105263158
14305,2021,13,0,383757.692307692,2837.61538461538,125.769230769231
14306,2021,7,0,347392.857142857,3216.57142857143,110.428571428571
14308,2021,5,0,239915.6,2457.2,93.4
14309,2021,10,1,195907.272727273,2603.72727272727,83.3636363636364
14310,2021,8,0,152950,1700.125,95.875
14311,2021,11,0,211458.181818182,2179.90909090909,99
14312,2021,38,37,128385.28,1997.22666666667,64.92
14316,2021,5,0,431320,2965.4,137.2
14318,2021,7,0,286651.285714286,2525.42857142857,118
14319,2021,14,0,234825,2312.92857142857,102.928571428571
14320,2021,4,0,207347.5,1881.75,112.75
14322,2021,1,0,500000,2203,227
14325,2021,51,11,239724.209677419,2841.59677419355,90.2741935483871
14326,2021,11,0,262563.636363636,2127.45454545455,121.272727272727
14327,2021,78,228,136298.54248366,2018.33660130719,67.6830065359477
14328,2021,9,0,216633.444444444,2567,87
14329,2021,2,0,199290,1922.5,104
14332,2021,6,0,219000,1985,118.666666666667
14333,2021,88,94,237281.785714286,3299.69230769231,74.9340659340659
14334,2021,4,0,132775,1351,102.5
14335,2021,5,0,379950,2739,147.4
14336,2021,3,0,134166.666666667,1376,113.666666666667
14337,2021,2,0,501000,2971.5,154.5
14338,2021,56,128,210712.407608696,3587.1902173913,57.1902173913044
14341,2021,91,67,188786.53164557,2484.44936708861,77.7151898734177
14342,2021,54,4,128021.793103448,1363.5,93.7241379310345
14343,2021,2,0,194740,1036.5,179.5
14344,2021,1,0,338500,2489,136
14345,2021,11,0,122939.090909091,1310.54545454545,100.727272727273
14346,2021,10,0,179939,1791.8,101.8
14347,2021,11,0,148490.909090909,1504,101.181818181818
14349,2021,40,0,245206.425,2354.5,108.95
14352,2021,11,0,106998.181818182,919.909090909091,112.363636363636
14353,2021,3,0,143313.333333333,1557.33333333333,96
14354,2021,37,8,233537.666666667,2967.08888888889,85.9777777777778
14355,2021,16,0,276525,1829.5,153.1875
14357,2021,12,0,100686.166666667,1256.25,80.8333333333333
14358,2021,3,0,374983.333333333,3489,118
14360,2021,5,0,128222,1183.2,107.4
14362,2021,3,0,356513,3930.33333333333,89.6666666666667
14364,2021,5,0,210800,1593,128.4
14365,2021,42,8,278851.22,3224.58,89.42
14366,2021,137,228,130345.010958904,1695.92328767123,75.6712328767123
14367,2021,7,0,75942.8571428571,818.285714285714,104.571428571429
14368,2021,12,0,128566.083333333,1284.83333333333,95.5
14369,2021,6,0,176416.666666667,1556.33333333333,112.333333333333
14370,2021,43,0,150955.209302326,1589.72093023256,97.0930232558139
14371,2021,120,1,169187.595041322,1549.42975206612,105.090909090909
14374,2021,1,0,105000,2234,47
14375,2021,2,0,146500,1200.5,117
14377,2021,5,0,133960,2023.4,64.6
14378,2021,2,0,116861,1489,76
14379,2021,6,0,228816.666666667,1823.16666666667,126
14380,2021,2,0,216000,2270.5,95
14381,2021,1,0,150000,955,157
14383,2021,35,2,271394.081081081,2842.32432432432,97.0810810810811
14384,2021,47,20,254507.507462687,3005.11940298507,87.7164179104478
14385,2021,3,0,249233.333333333,2354.66666666667,107.666666666667
14389,2021,5,0,253480,1900,148.6
14390,2021,3,0,206666.666666667,1450.33333333333,161.333333333333
14391,2021,8,0,204811.25,1898.625,108.875
14393,2021,8,0,230506.25,2036.5,126.5
14394,2021,7,0,221300,2313.57142857143,102
14396,2021,14,0,294722.357142857,2381.71428571429,125.642857142857
14397,2021,3,0,301330,1817.33333333333,166
14398,2021,5,0,236300,2009,112
14399,2021,11,0,293117.727272727,2492.18181818182,110.545454545455
14400,2021,2,0,306500,2504.5,121.5
14401,2021,2,0,279105,2316,121.5
14402,2021,1,0,180000,1782,101
